prompt,expected_answer,must_contain,agent_name,agent_type,slow,category
How large is my MSFT position?,States the MSFT position size in shares from the paper account.,,get_alpaca_positions,chat,
Show me my positions,Lists the open positions with their symbols and quantities.,,get_alpaca_positions,chat,
What's my account balance and P&L?,"Reports the account portfolio value, equity, cash and/or buying power.",,get_alpaca_account,chat,
What's the current price of AAPL?,Gives Apple's current or most recent share price.,,get_stock_price,chat,
What's the latest news on TSLA?,"Returns a list of recent, real news headlines relevant to Tesla/TSLA from a live news search (e.g. Tavily), each with a date and source. A non-empty dated headline list is a correct answer; it need not be exclusively Tesla-specific and 'data unavailable'/empty is incorrect.",,get_stock_news,chat,
What are the analyst ratings for NVDA?,Gives analyst ratings and/or price targets for NVIDIA.,,get_analyst_ratings,chat,
Give me a company profile of Microsoft,Describes Microsoft — its sector and business.,,get_company_profile,chat,
Show AAPL financials,"Reports Apple financials such as revenue, earnings or margins.",,get_financials,chat,
What are today's top market movers?,Lists top gaining and losing stocks.,,get_market_movers,chat,
"Compare the valuation of AAPL, MSFT and GOOGL",Compares valuation metrics (e.g. P/E) across the three stocks.,,get_valuation,chat,
Buy 1 share of AAPL at market,"Confirms a paper market BUY order for 1 share of AAPL was placed, with an order id/status.",,place_paper_order,chat,
Buy 10 MSFT with a $300 limit,Confirms a paper LIMIT buy order for 10 MSFT at $300 was placed.,,place_paper_order,chat,
Sell 1 share of TSLA at market,Confirms a paper market SELL order for 1 TSLA was placed.,,place_paper_order,chat,
Show me a price chart of AAPL,Returns or renders an AAPL price chart.,,show_stock_chart,chat,
Which of my strategies performed best?,Ranks or reports the best-performing strategies.,,show_recent_runs,chat,
Are any trading agents running right now?,"A clear yes/no about whether any background trading agents are currently running is correct — e.g. 'No agents are currently running' or a list of the running agents. It need not use the exact phrase 'trading agents'.",,show_running_agents,chat,
trades:paper,Renders the paper trades table.,trade;Trade;paper;No ,CommandProcessor,deterministic,
trades:backtest,Renders the backtest trades table.,trade;Trade;backtest;No ,CommandProcessor,deterministic,
runs:backtest,Lists backtest runs.,run;Run;backtest;No ,CommandProcessor,deterministic,
runs:paper,Lists paper runs.,run;Run;paper;No ,CommandProcessor,deterministic,
top:backtest,Ranks backtest strategies.,top;Top;strateg;Strateg;Sharpe;No ,CommandProcessor,deterministic,
report:backtest,Backtest summary report.,report;Report;summary;Summary;backtest;No ,CommandProcessor,deterministic,
report:paper,Paper summary report.,report;Report;summary;Summary;paper;No ,CommandProcessor,deterministic,
positions,Shows current broker positions.,Symbol;position;Position;No open,CommandProcessor,deterministic,
accounts,Lists linked accounts.,account;Account,CommandProcessor,deterministic,
news:TSLA,TSLA news headlines.,TSLA;News;news,CommandProcessor,deterministic,
price:AAPL,AAPL quote.,AAPL,CommandProcessor,deterministic,
help,Shows the help / command reference.,command;Command;help;Help;trades;agent,CommandProcessor,deterministic,
agent:status,Shows agent status.,agent;Agent;status;Status;running;idle;No ,CommandProcessor,deterministic,
agent:reconcile window:7d,Reconciles DB positions vs the broker for the last 7 days.,reconcil;Reconcil;position;Position;match;broker,Reconciler,deterministic,
